Saturday, 4, 21, MA 206
Saturday, 4, 21, MA 208
Saturday, 4, 23, ME 647
Saturday, 4, 115, CS 323
Saturday, 4, 119, ME 435
Saturday, 4, 210, EE 208
Saturday, 4, 210, EE 209
Saturday, 4, Auditorium, PH 426
Saturday, 5, 23, CS 209
Saturday, 5, 119, PH 203
Saturday, 5, 215, EE 688
Saturday, 6, 23, EE 626
Saturday, 6, 119, ME 208
Saturday, 6, Auditorium, CS 426
Saturday, 7, 214, EE 446
Saturday, 7, 214, EE 447
Saturday, 7, Auditorium, EE 204
Saturday, 8, 115, CS 304
Saturday, 8, 119, ME 445
Saturday, 8, 211, ME 604
Saturday, 8, 214, PH 202
Saturday, 8, 215, EE 608
Saturday, 8, Auditorium, EE 687
