Friday, 8, DSP Lab (2nd floor), EE 216
Saturday, 1, 115, HS 404
Saturday, 1, 117, HS 420
Saturday, 1, 215, PH 202
Saturday, 2, 117, MA 428
Saturday, 2, 203, MA 206
Saturday, 2, 211, EE 209
Saturday, 3, 211, ME 222
Saturday, 3, 214, EE 629
Saturday, 4, 22, EE 223
Saturday, 4, 119, MA 208
Saturday, 4, Auditorium, CE 301
Saturday, 5, 21, EE 206
Saturday, 5, 24, CS 214
Saturday, 5, SP16, CS 316
Saturday, 5, Manufacturing Lab (Next to SP6), ME 212
Saturday, 5, SP2, ME 411
Saturday, 6, 24, CS 214
Saturday, 6, SP16, CS 316
Saturday, 6, Manufacturing Lab (Next to SP6), ME 212
Saturday, 6, SP2, ME 411
Saturday, 7, 24, CS 214
Saturday, 7, SP16, CS 316
Saturday, 7, Manufacturing Lab (Next to SP6), ME 212
Saturday, 7, SP2, ME 411
Saturday, 8, 117, CS 209
Saturday, 8, 119, HS 429
Saturday, 8, 203, PH 203
Saturday, 8, 215, EE 208
