Saturday, 1, 210, ME 408
Saturday, 1, 27, PH 212
Saturday, 2, 207, ME 302
Saturday, 2, 211, EE 610
Saturday, 2, 27, PH 212
Saturday, 3, 214, EE 447
Saturday, 3, 27, PH 212
Saturday, 4, 203, MA 428
Saturday, 5, 23, ME 204
Saturday, 5, SP16, CS 314
Saturday, 5, Lab 24, ME 314
Saturday, 6, 21, EE 624
Saturday, 6, SP16, CS 314
Saturday, 6, 116, EE 214
Saturday, 6, Lab 24, ME 314
Saturday, 7, SP16, CS 314
Saturday, 7, 116, EE 214
Saturday, 7, Lab 24, ME 314
Saturday, 8, 207, EE 629
Saturday, 8, 116, EE 214
